,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,30,66.96666666666667
1,2,30,78.7
2,3,30,97.06666666666666
3,4,30,111.1
4,5,30,158.86666666666667
5,6,30,238.53333333333333
6,7,30,289.73333333333335
7,8,42,351.2
8,9,42,389.73333333333335
9,10,42,427.6333333333333
10,11,106,471.03333333333336
11,12,106,462.1
12,13,106,477.56666666666666
13,14,229,491.3333333333333
14,15,229,502.53333333333336
15,16,244,507.46666666666664
16,17,244,518.2333333333333
17,18,244,523.5666666666667
18,19,426,534.5333333333333
19,20,426,543.1
20,21,425,530.9666666666667
21,22,425,528.4333333333333
22,23,425,532.5
23,24,460,537.3333333333334
24,25,461,539.9666666666667
25,26,461,543.9333333333333
26,27,461,546.0333333333333
27,28,507,546.7333333333333
28,29,507,547.2333333333333
29,30,504,544.9666666666667
30,31,501,546.6333333333333
31,32,501,547.9666666666667
32,33,501,554.7666666666667
33,34,501,558.8333333333334
34,35,501,556.3
35,36,523,566.6666666666666
36,37,523,561.6666666666666
37,38,523,561.2666666666667
38,39,501,561.7333333333333
39,40,501,562.5
40,41,501,562.6333333333333
41,42,501,563.5666666666667
42,43,501,562.6333333333333
43,44,501,557.2666666666667
44,45,501,558.3
45,46,501,552.8333333333334
46,47,501,554.2333333333333
47,48,501,554.6
48,49,501,548.8333333333334
49,50,497,547.8333333333334
50,51,497,552.4333333333333
51,52,497,556.2
52,53,497,563.6666666666666
53,54,504,564.8333333333334
54,55,504,571.5
55,56,503,560.7333333333333
56,57,503,561.8
57,58,503,561.4666666666667
58,59,504,565.5666666666667
59,60,526,565.7666666666667
60,61,526,567.6666666666666
61,62,526,566.1
62,63,526,564.7
63,64,526,569.1666666666666
64,65,526,573.7333333333333
65,66,526,577.6666666666666
66,67,526,584.6333333333333
67,68,526,588.9666666666667
68,69,526,590.3666666666667
69,70,529,596.1
70,71,529,604.8333333333334
71,72,526,598.7333333333333
72,73,526,599.2666666666667
73,74,526,594.9333333333333
74,75,526,594.3333333333334
75,76,526,600.0666666666667
76,77,526,598.4
77,78,526,596.7666666666667
78,79,526,596.3333333333334
79,80,526,592.9
80,81,526,594.1333333333333
81,82,526,600.9333333333333
82,83,526,602.1333333333333
83,84,526,600.9333333333333
84,85,526,604.8333333333334
85,86,526,604.0666666666667
86,87,546,609.0666666666667
87,88,546,609.7
88,89,546,603.6
89,90,546,599.0666666666667
90,91,546,591.7666666666667
91,92,546,600.2333333333333
92,93,546,594.4333333333333
93,94,546,598.4666666666667
94,95,546,597.9
95,96,546,603.1666666666666
96,97,546,604.2666666666667
97,98,546,605.9666666666667
98,99,546,605.8333333333334
99,100,546,607.2666666666667
